排名,电影名称,图片链接,主演,上映时间,评分
1,我不是药神,https://p0.meituan.net/movie/414176cfa3fea8bed9b579e9f42766b9686649.jpg@160w_220h_1e_1c,徐峥、周一围、王传君,2018-07-05,9.6
2,肖申克的救赎,https://p0.meituan.net/movie/8112a8345d7f1d807d026282f2371008602126.jpg@160w_220h_1e_1c,蒂姆·罗宾斯、摩根·弗里曼、鲍勃·冈顿,1994-09-10(加拿大),9.5
3,绿皮书,https://p1.meituan.net/movie/c9b280de01549fcb71913edec05880585769972.jpg@160w_220h_1e_1c,维果·莫腾森、马赫沙拉·阿里、琳达·卡德里尼,2019-03-01,9.5
4,小偷家族,https://p1.meituan.net/movie/ac8f0004928fbce5a038a007b7c73cec746794.jpg@160w_220h_1e_1c,中川雅也、安藤樱、松冈茉优,2018-08-03,8.1
5,海上钢琴师,https://p0.meituan.net/movie/609e45bd40346eb8b927381be8fb27a61760914.jpg@160w_220h_1e_1c,蒂姆·罗斯、比尔·努恩、克兰伦斯·威廉姆斯三世,2019-11-15,9.3
6,哪吒之魔童降世,https://p0.meituan.net/movie/005955214d5b3e50c910d7a511b0cb571445301.jpg@160w_220h_1e_1c,吕艳婷、囧森瑟夫、瀚墨,2019-07-26,9.6
7,霸王别姬,https://p0.meituan.net/movie/61fea77024f83b3700603f6af93bf690585789.jpg@160w_220h_1e_1c,张国荣、张丰毅、巩俐,1993-07-26,9.5
8,美丽人生,https://p1.meituan.net/movie/580d81a2c78bf204f45323ddb4244b6c6821175.jpg@160w_220h_1e_1c,罗伯托·贝尼尼、朱斯蒂诺·杜拉诺、赛尔乔·比尼·布斯特里克,2020-01-03,9.3
9,这个杀手不太冷,https://p1.meituan.net/movie/6bea9af4524dfbd0b668eaa7e187c3df767253.jpg@160w_220h_1e_1c,让·雷诺、加里·奥德曼、娜塔莉·波特曼,1994-09-14(法国),9.4
10,盗梦空间,https://p0.meituan.net/moviemachine/c2496a7290a72eac6081321898c347693550574.jpg@160w_220h_1e_1c,莱昂纳多·迪卡普里奥、渡边谦、约瑟夫·高登-莱维特,2010-09-01,9.0
11,怦然心动,https://p0.meituan.net/movie/15f1ac49b6d1ff7b71207672993ed6901536456.jpg@160w_220h_1e_1c,玛德琳·卡罗尔、卡兰·麦克奥利菲、艾丹•奎因,2010-07-26(美国),8.9
12,千与千寻,https://p0.meituan.net/movie/30b20139e68c46d02e0893277d633b701292458.jpg@160w_220h_1e_1c,柊瑠美、周冬雨、入野自由,2019-06-21,9.3
13,阿甘正传,https://p0.meituan.net/movie/b41795c4a88479137e40ebdc3d7dc040238291.jpg@160w_220h_1e_1c,汤姆·汉克斯、罗宾·怀特、加里·西尼斯,1994-07-06(美国),9.4
14,触不可及,https://p0.meituan.net/moviemachine/eb5e33480a3d3b0f813673a33eb556381148211.jpg@160w_220h_1e_1c,弗朗索瓦·克鲁塞、奥玛·希、安娜·勒尼,2011-11-02(法国),9.1
15,星际穿越,https://p0.meituan.net/moviemachine/94138dc0290a74b35786b6e3b8ece8607940668.jpg@160w_220h_1e_1c,马修·麦康纳、安妮·海瑟薇、杰西卡·查斯坦,2014-11-12,9.3
16,楚门的世界,https://p0.meituan.net/movie/59c05effc4755c627901fb7e044d071d851055.jpg@160w_220h_1e_1c,金·凯瑞、劳拉·琳妮、诺亚·艾默里奇,1998(罗马尼亚),8.9
17,辛德勒的名单,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@160w_220h_1e_1c,连姆·尼森、拉尔夫·费因斯、本·金斯利,1993-11-30(美国),9.2
18,少年派的奇幻漂流,https://p0.meituan.net/movie/34998e31c6d07475f1add6b8b16fd21d192579.jpg@160w_220h_1e_1c,苏拉·沙玛、伊尔凡·可汗、塔布,2012-11-22,9.0
20,小丑,https://p0.meituan.net/moviemachine/7707dc3478f9ab26871688f4964ae45d6672925.jpg@160w_220h_1e_1c,华金·菲尼克斯、罗伯特·德尼罗、亚历克·鲍德温,2019-10-04(美国),8.6
21,寻梦环游记,https://p1.meituan.net/movie/14f9018b371d94dd812772704613babd475457.jpg@160w_220h_1e_1c,安东尼·冈萨雷斯、本杰明·布拉特、盖尔·加西亚·贝纳尔,2017-11-24,9.6
22,何以为家,https://p1.meituan.net/movie/d28b729ffe72353a72d1e7ef8a9b90591544978.jpg@160w_220h_1e_1c,赞恩·阿尔·拉菲亚、约丹诺斯·希费罗、博鲁瓦蒂夫·特雷杰·班科尔,2019-04-29,9.3
23,忠犬八公的故事,https://p0.meituan.net/movie/04263651e43c11ce538b180988ff0a5e231189.jpg@160w_220h_1e_1c,Forest、理查·基尔、琼·艾伦,2009-06-13(美国),9.3
24,情书,https://p1.meituan.net/movie/4e6e22ea788a72b1cf769bd5537bd38d37701.jpg@160w_220h_1e_1c,中山美穗、丰川悦司、范文雀,1999-03,8.7
25,龙猫,https://p0.meituan.net/movie/c304c687e287c7c2f9e22cf78257872d277201.jpg@160w_220h_1e_1c,秦岚、糸井重里、岛本须美,2018-12-14,9.2
26,当幸福来敲门,https://p0.meituan.net/moviemachine/e5daa8748733820faab91102bd0bc4507730353.jpg@160w_220h_1e_1c,威尔·史密斯、贾登·史密斯、坦迪·牛顿,2008-01-17,9.3
27,三傻大闹宝莱坞,https://p1.meituan.net/movie/ca4a128a5a54d5b5e35ceba622636c831810197.jpg@160w_220h_1e_1c,阿米尔·汗、黄渤、卡琳娜·卡普,2011-12-08,9.1
28,泰坦尼克号,https://p1.meituan.net/movie/b607fba7513e7f15eab170aac1e1400d878112.jpg@160w_220h_1e_1c,莱昂纳多·迪卡普里奥、凯特·温丝莱特、比利·赞恩,1998-04-03,9.4
29,放牛班的春天,https://p0.meituan.net/movie/70de97ebb6b5251ecb7c3f6d7a782a7f189340.jpg@160w_220h_1e_1c,热拉尔·朱尼奥、让-巴蒂斯特·莫尼耶、玛丽·布奈尔,2004-10-16,8.8
30,熔炉,https://p1.meituan.net/movie/2a0783b4fd95566568f24adfad2181bb5392280.jpg@160w_220h_1e_1c,孔刘、郑有美、金智英,2011-09-22(韩国),8.8
31,被嫌弃的松子的一生,https://p0.meituan.net/movie/5b36b3c840e26e50aa65ea0c164c9903599336.jpg@160w_220h_1e_1c,中谷美纪、永山瑛太、伊势谷友介,2006-05-27(日本),8.5
32,教父,https://p0.meituan.net/movie/1199dc6273680f175fd9b06c9c36d08a219658.jpg@160w_220h_1e_1c,马龙·白兰度、阿尔·帕西诺、詹姆斯·肯恩,2015-04-18,9.3
33,头号玩家,https://p0.meituan.net/movie/52c8c57caeeaacbeaa3d54eec62023fd483970.jpg@160w_220h_1e_1c,泰伊·谢里丹、奥利维亚·库克、本·门德尔森,2018-03-30,9.0
34,三块广告牌,https://p1.meituan.net/movie/34d2efaebaa65c92f75ff719314b3015144837.jpg@160w_220h_1e_1c,弗兰西斯·麦克多蒙德、伍迪·哈里森、山姆·洛克威尔,2018-03-02,8.6
35,看不见的客人,https://p0.meituan.net/movie/f8f6b8a6158a1a3d2f2ec8a8f024eef5306692.jpg@160w_220h_1e_1c,马里奥·卡萨斯、阿娜·瓦格纳、何塞·科罗纳多,2017-09-15,9.4
36,天堂电影院,https://p0.meituan.net/movie/76fc92cfa6c8f2959431b8aa604ef7ae126414.jpg@160w_220h_1e_1c,菲利浦·诺瓦雷、赛尔乔·卡斯特利托、蒂兹亚娜·罗达托,1988-09-29(意大利),9.2
38,活着,https://p0.meituan.net/movie/8609f509a07d64da4c8bdc58db7a440a369264.jpg@160w_220h_1e_1c,葛优、巩俐、牛犇,1994-05-17(法国),9.0
39,机器人总动员,https://p0.meituan.net/movie/267dd2483f0fb57081474c00fbea38451415571.jpg@160w_220h_1e_1c,本·贝尔特、艾丽莎·奈特、杰夫·格尔林,2008-06-27(美国),9.3
40,请以你的名字呼唤我,https://p1.meituan.net/movie/0da7ffae67afeb5c63bd2d73efbe664c283994.jpg@160w_220h_1e_1c,提莫西·查拉梅、艾米·汉莫、迈克尔·斯图巴,2017-01-22(美国),8.0
